GEOid2,GEOdisplaylabel,total_over_18_pop,hispanic_over_18_pop
48029130402,"Census Tract 1304.02, Bexar County, Texas",2597,1564
48029130500,"Census Tract 1305, Bexar County, Texas",2758,1467
48029130600,"Census Tract 1306, Bexar County, Texas",3003,1657
48029130700,"Census Tract 1307, Bexar County, Texas",1227,966
48029130800,"Census Tract 1308, Bexar County, Texas",3235,878
48029130900,"Census Tract 1309, Bexar County, Texas",3151,1295
48029131000,"Census Tract 1310, Bexar County, Texas",3801,1342
48029131100,"Census Tract 1311, Bexar County, Texas",1703,765
48029131200,"Census Tract 1312, Bexar County, Texas",2328,1172
48029131300,"Census Tract 1313, Bexar County, Texas",4239,1844
48029131401,"Census Tract 1314.01, Bexar County, Texas",4463,2394
48029131402,"Census Tract 1314.02, Bexar County, Texas",1903,934
48029131503,"Census Tract 1315.03, Bexar County, Texas",2423,964
48029131504,"Census Tract 1315.04, Bexar County, Texas",2865,1548
48029131505,"Census Tract 1315.05, Bexar County, Texas",2274,1145
48029131506,"Census Tract 1315.06, Bexar County, Texas",2293,1192
48029131507,"Census Tract 1315.07, Bexar County, Texas",3967,2201
48029131601,"Census Tract 1316.01, Bexar County, Texas",1846,557
48029131606,"Census Tract 1316.06, Bexar County, Texas",3288,1204
48029131608,"Census Tract 1316.08, Bexar County, Texas",3276,1070
48029131609,"Census Tract 1316.09, Bexar County, Texas",5638,2017
48029131610,"Census Tract 1316.10, Bexar County, Texas",3474,1392
48029131611,"Census Tract 1316.11, Bexar County, Texas",907,263
48029131612,"Census Tract 1316.12, Bexar County, Texas",935,435
48029131613,"Census Tract 1316.13, Bexar County, Texas",3541,1260
48029131614,"Census Tract 1316.14, Bexar County, Texas",2427,798
48029131615,"Census Tract 1316.15, Bexar County, Texas",5431,2097
48029131700,"Census Tract 1317, Bexar County, Texas",725,89
48029131801,"Census Tract 1318.01, Bexar County, Texas",2064,276
48029131802,"Census Tract 1318.02, Bexar County, Texas",4145,1226
48029140100,"Census Tract 1401, Bexar County, Texas",1236,1058
48029140200,"Census Tract 1402, Bexar County, Texas",2122,1863
48029140300,"Census Tract 1403, Bexar County, Texas",2387,2209
48029140400,"Census Tract 1404, Bexar County, Texas",2772,2428
48029140500,"Census Tract 1405, Bexar County, Texas",3043,2488
48029140600,"Census Tract 1406, Bexar County, Texas",1845,1582
48029140700,"Census Tract 1407, Bexar County, Texas",3527,2779
48029140800,"Census Tract 1408, Bexar County, Texas",3599,3023
48029140900,"Census Tract 1409, Bexar County, Texas",1408,1137
48029141000,"Census Tract 1410, Bexar County, Texas",2476,2016
48029141101,"Census Tract 1411.01, Bexar County, Texas",3329,2208
48029141102,"Census Tract 1411.02, Bexar County, Texas",2684,1996
48029141200,"Census Tract 1412, Bexar County, Texas",4919,3708
48029141300,"Census Tract 1413, Bexar County, Texas",4080,2471
48029141402,"Census Tract 1414.02, Bexar County, Texas",2397,1793
48029141403,"Census Tract 1414.03, Bexar County, Texas",2785,1871
48029141404,"Census Tract 1414.04, Bexar County, Texas",3258,2154
48029141600,"Census Tract 1416, Bexar County, Texas",2845,2529
48029141700,"Census Tract 1417, Bexar County, Texas",3612,2169
48029141800,"Census Tract 1418, Bexar County, Texas",3267,1879
48029141900,"Census Tract 1419, Bexar County, Texas",4197,1202
48029150100,"Census Tract 1501, Bexar County, Texas",3747,3499
48029150300,"Census Tract 1503, Bexar County, Texas",3338,3114
48029150400,"Census Tract 1504, Bexar County, Texas",2898,2756
48029150501,"Census Tract 1505.01, Bexar County, Texas",3110,2962
48029150502,"Census Tract 1505.02, Bexar County, Texas",2777,2700
48029150600,"Census Tract 1506, Bexar County, Texas",3121,2979
48029150700,"Census Tract 1507, Bexar County, Texas",4442,4139
48029150800,"Census Tract 1508, Bexar County, Texas",1861,1577
48029150900,"Census Tract 1509, Bexar County, Texas",4305,3715
48029151000,"Census Tract 1510, Bexar County, Texas",2382,2192
48029151100,"Census Tract 1511, Bexar County, Texas",5007,4718
48029151200,"Census Tract 1512, Bexar County, Texas",6639,6183
48029151301,"Census Tract 1513.01, Bexar County, Texas",3822,3502
48029151302,"Census Tract 1513.02, Bexar County, Texas",2160,1973
48029151400,"Census Tract 1514, Bexar County, Texas",3194,2826
48029151500,"Census Tract 1515, Bexar County, Texas",1887,1515
48029151600,"Census Tract 1516, Bexar County, Texas",5252,4130
48029151700,"Census Tract 1517, Bexar County, Texas",4594,3902
