GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",8151,641,4322,568,3829,670
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",4932,428,2112,361,2820,342
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",5642,595,3645,398,1997,526
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",5179,573,2318,288,2861,630
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4580,485,3730,328,850,361
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",6908,434,5348,482,1560,420
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",2413,333,1256,173,1157,326
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",6224,764,3646,511,2578,754
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",7670,697,3928,499,3742,791
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",7389,500,5057,536,2332,389
1400000US48029121110,48029121110,"Census Tract 1211.10, Bexar County, Texas",5021,345,2978,311,2043,285
1400000US48029121111,48029121111,"Census Tract 1211.11, Bexar County, Texas",5991,550,3665,535,2326,414
1400000US48029121112,48029121112,"Census Tract 1211.12, Bexar County, Texas",3676,291,2656,288,1020,260
1400000US48029121115,48029121115,"Census Tract 1211.15, Bexar County, Texas",5094,267,4106,364,988,269
1400000US48029121116,48029121116,"Census Tract 1211.16, Bexar County, Texas",4965,473,3590,361,1375,403
1400000US48029121117,48029121117,"Census Tract 1211.17, Bexar County, Texas",4555,376,3095,432,1460,260
1400000US48029121118,48029121118,"Census Tract 1211.18, Bexar County, Texas",5718,402,3612,372,2106,509
1400000US48029121119,48029121119,"Census Tract 1211.19, Bexar County, Texas",5836,406,3362,368,2474,427
1400000US48029121120,48029121120,"Census Tract 1211.20, Bexar County, Texas",5110,478,3044,385,2066,437
1400000US48029121121,48029121121,"Census Tract 1211.21, Bexar County, Texas",2978,174,2381,192,597,159
1400000US48029121122,48029121122,"Census Tract 1211.22, Bexar County, Texas",5157,457,3360,355,1797,304
1400000US48029121203,48029121203,"Census Tract 1212.03, Bexar County, Texas",3296,403,1298,201,1998,409
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",7217,582,4652,523,2565,459
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",3294,452,1360,345,1934,392
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",7240,565,3550,634,3690,561
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",6120,490,4248,475,1872,507
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",5139,574,2114,472,3025,350
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",4941,437,2981,427,1960,325
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",4976,541,2327,315,2649,467
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",7214,442,4691,429,2523,331
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",5597,761,4021,691,1576,364
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",4768,408,2616,442,2152,381
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",5746,565,2879,417,2867,644
