GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48027023108,48027023108,"Census Tract 231.08, Bell County, Texas",15073,1520,10994,1424,4079,819
1400000US48027023201,48027023201,"Census Tract 232.01, Bell County, Texas",2542,253,2031,349,511,236
1400000US48027023202,48027023202,"Census Tract 232.02, Bell County, Texas",8480,603,6292,661,2188,656
1400000US48027023203,48027023203,"Census Tract 232.03, Bell County, Texas",2800,404,1850,417,950,376
1400000US48027023204,48027023204,"Census Tract 232.04, Bell County, Texas",5100,481,4247,492,853,229
1400000US48027023300,48027023300,"Census Tract 233, Bell County, Texas",6560,503,5689,467,871,289
1400000US48027023402,48027023402,"Census Tract 234.02, Bell County, Texas",4167,447,3332,348,835,256
1400000US48027023403,48027023403,"Census Tract 234.03, Bell County, Texas",5021,475,4438,459,583,318
1400000US48027023404,48027023404,"Census Tract 234.04, Bell County, Texas",2889,459,2459,409,430,200
1400000US48027023500,48027023500,"Census Tract 235, Bell County, Texas",1981,376,1544,360,437,190
1400000US48027980001,48027980001,"Census Tract 9800.01, Bell County, Texas",795,229,637,195,158,110
1400000US48027980002,48027980002,"Census Tract 9800.02, Bell County, Texas",13,24,13,24,0,13
1400000US48027980003,48027980003,"Census Tract 9800.03, Bell County, Texas",0,13,0,13,0,13
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",2854,353,1042,221,1812,346
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",3148,407,826,236,2322,400
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",2128,269,123,80,2005,284
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",7808,607,1690,319,6118,570
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",2116,604,306,135,1810,602
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",1650,261,514,119,1136,278
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",444,254,216,220,228,121
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",1681,249,420,112,1261,238
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",7146,662,5987,612,1159,259
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",7131,20,5543,303,1588,300
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",5875,293,4859,463,1016,324
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",7433,888,3580,462,3853,847
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",5010,561,2266,376,2744,464
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",6050,531,4284,517,1766,547
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",5039,674,2278,416,2761,505
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4537,431,3885,365,652,284
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",6843,416,5190,512,1653,345
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",2189,305,1212,162,977,293
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",6752,953,4185,715,2567,734
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",6839,653,4367,542,2472,506
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",7073,512,4780,409,2293,520
1400000US48029121110,48029121110,"Census Tract 1211.10, Bexar County, Texas",5104,384,3015,374,2089,308
1400000US48029121111,48029121111,"Census Tract 1211.11, Bexar County, Texas",6772,714,3828,756,2944,506
1400000US48029121112,48029121112,"Census Tract 1211.12, Bexar County, Texas",3860,257,2674,309,1186,320
1400000US48029121115,48029121115,"Census Tract 1211.15, Bexar County, Texas",5321,425,4058,413,1263,337
1400000US48029121116,48029121116,"Census Tract 1211.16, Bexar County, Texas",4944,435,3194,352,1750,429
1400000US48029121117,48029121117,"Census Tract 1211.17, Bexar County, Texas",4358,349,2963,343,1395,250
1400000US48029121118,48029121118,"Census Tract 1211.18, Bexar County, Texas",6047,575,3800,447,2247,498
1400000US48029121119,48029121119,"Census Tract 1211.19, Bexar County, Texas",5261,414,3243,334,2018,303
